condition,ee_offset_x,seed,success,episode_length,final_ee_x,final_ee_y,final_ee_z,failure_type,timestamp
nominal,0.0,0,True,102,0.3304,-0.1772,0.9015,none,2026-03-13T19:55:04.940092
nominal,0.0,1,True,117,0.3343,-0.1848,0.9021,none,2026-03-13T19:55:25.130093
nominal,0.0,2,True,106,0.3288,-0.2113,0.905,none,2026-03-13T19:55:43.491110
nominal,0.0,3,True,101,0.3377,-0.1953,0.9001,none,2026-03-13T19:56:01.034495
nominal,0.0,4,True,104,0.3209,-0.2007,0.9011,none,2026-03-13T19:56:18.831653
nominal,0.0,5,True,102,0.3309,-0.2116,0.9048,none,2026-03-13T19:56:36.803787
nominal,0.0,6,True,102,0.3133,-0.2011,0.9019,none,2026-03-13T19:56:54.397684
nominal,0.0,7,True,104,0.3252,-0.1934,0.9007,none,2026-03-13T19:57:12.234018
nominal,0.0,8,True,103,0.3196,-0.2054,0.9006,none,2026-03-13T19:57:29.896972
nominal,0.0,9,True,101,0.3358,-0.2035,0.9031,none,2026-03-13T19:57:47.811857
nominal,0.0,10,True,106,0.3215,-0.1918,0.9033,none,2026-03-13T19:58:08.406821
nominal,0.0,11,True,97,0.3276,-0.1968,0.9019,none,2026-03-13T19:58:26.571440
nominal,0.0,12,True,116,0.3326,-0.1908,0.9051,none,2026-03-13T19:58:46.709887
nominal,0.0,13,True,103,0.3323,-0.191,0.9001,none,2026-03-13T19:59:04.774451
nominal,0.0,14,True,100,0.3344,-0.196,0.9012,none,2026-03-13T19:59:22.284416
nominal,0.0,15,True,111,0.3315,-0.1873,0.9038,none,2026-03-13T19:59:42.408662
nominal,0.0,16,True,103,0.3267,-0.1986,0.9007,none,2026-03-13T20:00:00.729484
nominal,0.0,17,True,112,0.3199,-0.2031,0.9063,none,2026-03-13T20:00:20.736594
nominal,0.0,18,True,99,0.325,-0.2105,0.9028,none,2026-03-13T20:00:38.419513
nominal,0.0,19,True,114,0.3224,-0.2124,0.9036,none,2026-03-13T20:00:58.841720
mild,-0.05,0,True,118,0.3349,-0.1895,0.902,none,2026-03-13T20:01:20.111752
mild,-0.05,1,True,104,0.334,-0.1909,0.9014,none,2026-03-13T20:01:38.988842
mild,-0.05,2,True,109,0.3254,-0.2024,0.9006,none,2026-03-13T20:01:58.858044
mild,-0.05,3,True,112,0.3311,-0.2018,0.9042,none,2026-03-13T20:02:19.389654
mild,-0.05,4,True,107,0.3414,-0.1779,0.9007,none,2026-03-13T20:02:38.963490
mild,-0.05,5,True,123,0.3213,-0.2009,0.9028,none,2026-03-13T20:03:01.452651
mild,-0.05,6,True,109,0.3259,-0.1968,0.9001,none,2026-03-13T20:03:21.317888
mild,-0.05,7,True,110,0.3241,-0.189,0.902,none,2026-03-13T20:03:41.122443
mild,-0.05,8,True,105,0.3257,-0.2022,0.9023,none,2026-03-13T20:03:59.956255
