condition,ee_offset_x,seed,success,episode_length,final_ee_x,final_ee_y,final_ee_z,failure_type,timestamp
nominal,0.0,0,False,281,0.2885,-0.1817,0.9162,wrong_place,2026-03-13T14:25:23.774196
nominal,0.0,0,True,155,0.297,-0.193,0.9016,none,2026-03-13T14:30:31.625822
nominal,0.0,1,True,105,0.3292,-0.1946,0.9001,none,2026-03-13T14:30:49.646360
nominal,0.0,2,False,42,0.3344,0.0848,0.8684,wrong_place,2026-03-13T14:30:57.210551
nominal,0.0,0,True,170,0.3159,-0.1772,0.9015,none,2026-03-13T14:44:57.839615
nominal,0.0,1,True,103,0.3317,-0.1898,0.9014,none,2026-03-13T14:45:16.980806
nominal,0.0,2,True,105,0.3299,-0.2005,0.9005,none,2026-03-13T14:45:36.289701
nominal,0.0,3,True,109,0.3309,-0.1974,0.9001,none,2026-03-13T14:45:56.895852
nominal,0.0,4,True,120,0.354,-0.1626,0.9264,none,2026-03-13T14:46:19.604918
nominal,0.0,5,True,157,0.3328,-0.1891,0.9019,none,2026-03-13T14:46:51.348917
nominal,0.0,6,True,104,0.323,-0.2125,0.9015,none,2026-03-13T14:47:11.791385
nominal,0.0,7,True,164,0.3094,-0.1883,0.9,none,2026-03-13T14:47:44.244938
nominal,0.0,8,True,106,0.3287,-0.1896,0.904,none,2026-03-13T14:48:05.701833
nominal,0.0,9,True,180,0.3116,-0.189,0.9012,none,2026-03-13T14:48:41.695122
nominal,0.0,10,True,100,0.3199,-0.1936,0.9015,none,2026-03-13T14:49:01.582470
nominal,0.0,11,True,182,0.3105,-0.1871,0.9021,none,2026-03-13T14:49:37.822673
nominal,0.0,12,True,185,0.295,-0.1961,0.906,none,2026-03-13T14:50:14.968928
nominal,0.0,13,True,161,0.3016,-0.1899,0.9008,none,2026-03-13T14:50:47.904263
nominal,0.0,14,True,105,0.3274,-0.2098,0.9004,none,2026-03-13T14:51:09.306263
nominal,0.0,15,True,105,0.3318,-0.2087,0.9031,none,2026-03-13T14:51:30.576601
nominal,0.0,16,True,162,0.3125,-0.1977,0.9002,none,2026-03-13T14:52:03.868878
nominal,0.0,17,True,156,0.3054,-0.1873,0.903,none,2026-03-13T14:52:36.057344
nominal,0.0,18,True,109,0.3311,-0.206,0.9006,none,2026-03-13T14:52:58.341343
nominal,0.0,19,True,116,0.3355,-0.1992,0.9026,none,2026-03-13T14:53:22.154476
